url,status,action
https://mise.ax/,200,html_text_saved
https://mise.ax/avgifter,200,html_text_saved
https://mise.ax/node/1,200,html_text_saved
https://mise.ax/egnahemshus,200,html_text_saved
https://mise.ax/flerbostadshus,200,html_text_saved
https://mise.ax/fritidsbostad,200,html_text_saved
https://mise.ax/skargarden,200,html_text_saved
https://mise.ax/verksamheter,200,html_text_saved
https://mise.ax/misebilen-mobil-avc,200,html_text_saved
https://mise.ax/atervinningscentralen-mise-avc,200,html_text_saved
https://mise.ax/kontakta-mise,200,html_text_saved
https://mise.ax/sorteringsguide,200,html_text_saved
https://mise.ax/vi-ar-mise,200,html_text_saved
https://mise.ax/vi-ar-mise/avfallshanteringssystemet,200,html_text_saved
https://mise.ax/avfallshanteringssystemet/andrad-sortering-b-karlet,200,html_text_saved
https://mise.ax/vi-ar-mise/ekonomi,200,html_text_saved
https://mise.ax/din-faktura,200,html_text_saved
https://mise.ax/vi-ar-mise/styrande-dokument,200,html_text_saved
https://mise.ax/blanketter,200,html_text_saved
https://mise.ax/trafikinformation,200,html_text_saved
https://mise.ax/nyheter,200,html_text_saved
https://mise.ax/nyheter/kom-och-jobba-oss-administrator,200,html_text_saved
https://mise.ax/nyheter/mise-soker-driven-ekonomiansvarig,200,html_text_saved
https://mise.ax/nyheter/tillfallig-andring-vid-smarket,200,html_text_saved
https://mise.ax/sekretesspolicy,200,html_text_saved
https://mise.ax/lamna-synpunkter-pa-sidan,200,html_text_saved
https://mise.ax/node/5,200,html_text_saved
https://mise.ax/sites/default/files/2026-07/avfallstaxa-2026-version-4.pdf,200,pdf_saved
https://mise.ax/sites/default/files/2026-07/forenklad-version-av-avfallstaxan-2.0-2026.pdf-1_0.pdf,200,pdf_saved
https://mise.ax/avfallstaxan,404,html_text_saved
https://e-tjanster.ax/e-form/sv/f95966b59a,200,html_no_text_extracted
https://mise.ax/sites/default/files/2025-12/avfallstaxa-2026-godkand-av-stamman-17.12.2025.pdf,200,pdf_saved
https://mise.ax/sites/default/files/2025-05/avfallstaxa-2025_0.pdf,200,pdf_saved
https://mise.ax/sites/default/files/2025-05/avfallstaxa-2024-med-moms-255-fr.o.m-1.9.2024.pdf,200,pdf_saved
https://mise.ax/sites/default/files/2025-05/avfallstaxa_2024-med-24-moms.pdf,200,pdf_saved
https://mise.ax/sites/default/files/2025-05/avfallstaxa-2023.pdf,200,pdf_saved
https://mise.ax/sites/default/files/2025-05/avfallstaxa-2022.pdf,200,pdf_saved
https://mise.ax/blanketter/kompostanmalan,200,html_text_saved
https://mise.ax/blanketter/anmalningsblankett-stadigvarande-bostad,200,html_text_saved
https://mise.ax/blanketter/anmalan-om-agarbyte,200,html_text_saved
https://mise.ax/blanketter/anmalan-om-delad-tomning-3-eller-farre,200,html_text_saved
https://mise.ax/blanketter/ansokan-delad-avfallshantering-fler-3-hushall,200,html_text_saved
https://mise.ax/blanketter/anmalan-om-slaminsamling-ej-ansluten-kommunaltavloppsnatet,200,html_text_saved
https://mise.ax/blanketter/bilaga-kompostanmalan,200,html_text_saved
https://mise.ax/blanketter/anmalningsblankett-flerbostadshus,200,html_text_saved
https://mise.ax/blanketter/inflyttningsplan-bilaga-anmalningsblankett-flerbostadshus,200,html_text_saved
https://mise.ax/blanketter/anhallan-om-andringar-byggnaden-0,200,html_text_saved
https://mise.ax/blanketter/anmalan-om-ta-hem-avfall-fastboende-egnahemshus-inom-mise,200,html_text_saved
https://mise.ax/blanketter/ansokan-om-ta-hem-avfall-fastboende-lagenhet-inom-mise-0,200,html_text_saved
https://mise.ax/blanketter/ansokan-om-ta-hem-avfall-fastboende-egnahemshus-inom-mise,200,html_text_saved
https://mise.ax/blanketter/anmalan-om-agarbyte-fritidsbostad,200,html_text_saved
https://mise.ax/blanketter/anmalningsblankett-fritidsbostader-skargarden,200,html_text_saved
https://mise.ax/blanketter/anmalan-om-flytt-servicebostad-0,200,html_text_saved
https://mise.ax/blanketter/ansokan-om-ta-hem-avfall-fastboende-utanfor-mise-0,200,html_text_saved
https://mise.ax/blanketter/anhallan-om-andringar-byggnaden,200,html_text_saved
https://mise.ax/blanketter/anmalningsblankett-verksamheter-skargarden,200,html_text_saved
https://mise.ax/blanketter/anmalningsblankett-verksamheter-fasta-aland,200,html_text_saved
https://mise.ax/sites/default/files/2025-05/avfallstaxa-2025.pdf,200,pdf_saved
https://mise.ax/sites/default/files/2026-07/bokslut-och-verksamhetsberattelse-2025-underskrivet.pdf,200,pdf_saved
https://mise.ax/sites/default/files/2025-09/bokslut-och-verksamhetsberattelse-2024-godkant-av-forbundsstyrelsen-23.4.2025.pdf,200,pdf_saved
https://mise.ax/sites/default/files/2025-05/bokslut-och-verksamhetsberattelse-2023.pdf,200,pdf_saved
https://mise.ax/sites/default/files/2025-05/bokslut-och-verksamhetsberattelse-2022.pdf,502,pdf_saved
https://mise.ax/sites/default/files/2025-05/bokslut-och-verksamhetsberattelse-2021.pdf,200,pdf_saved
https://mise.ax/sites/default/files/2025-05/budget-och-ekonomiplan-2025.pdf,200,pdf_saved
https://mise.ax/sites/default/files/2025-05/budget-och-ekonomiplan-2024.pdf,200,pdf_saved
https://mise.ax/sites/default/files/2025-05/budget-och-ekonomiplan-2023.pdf,200,pdf_saved
https://mise.ax/sites/default/files/2025-05/budget-och-ekonomiplan-2022.pdf,200,pdf_saved
https://mise.ax/sites/default/files/2025-05/budget-och-ekonomiplan-2021.pdf,200,pdf_saved
https://mise.ax/sites/default/files/2025-05/budget-och-ekonomiplan-2020.pdf,200,pdf_saved
https://mise.ax/sites/default/files/2025-05/avfallshanteringsforeskrifter-2025.pdf,200,pdf_saved
https://mise.ax/sites/default/files/2025-05/avfallsplan-2020-2030_mstam_17.12.2019.pdf,200,pdf_saved
https://mise.ax/sites/default/files/2025-05/mise-grundavtal-2015.pdf,200,pdf_saved
https://mise.ax/sites/default/files/2025-05/integritetspolicy-for-mise.pdf,200,pdf_saved
https://mise.ax/sites/default/files/2025-05/mise-arvodesstadga.pdf,200,pdf_saved
https://mise.ax/sites/default/files/2025-05/mise-delegeringsbeslut.pdf,200,pdf_saved
https://mise.ax/sites/default/files/2025-05/mise-forvaltningsstadga-mstam22052018-med-andringar-mstam14062023.pdf,200,pdf_saved
https://mise.ax/blanketter/agarbyte-stadigvarande-bostad-skargarden,200,html_text_saved
https://mise.ax/blanketter/ansokan-om-obebodd-stadigvarande-bostad,200,html_text_saved
https://mise.ax/blanketter/anmalningsblankett-bostad-skargarden,200,html_text_saved
https://mise.ax/blanketter/agarbytenybyggnation-stadigvarande-bostad-skargarden,200,html_text_saved
https://mise.ax/blanketter/anhallan-om-avgiftsbefrielse,200,html_text_saved
https://mise.ax/blanketter/ansokan-om-obebodd-stadigvarande-bostad-0,200,html_text_saved
https://mise.ax/blanketter/anmalan-om-flytt-servicebostad,200,html_text_saved
https://mise.ax/blanketter/anmalan-om-skrotfordon,200,html_text_saved
https://mise.ax/blanketter/anmalan-om-nedskrapning,200,html_text_saved
https://mise.ax/blanketter/ansokan-om-ta-hem-avfall-fastboende-utanfor-mise,200,html_text_saved
https://mise.ax/blanketter/ansokan-om-ta-hem-avfall-fastboende-lagenhet-inom-mise,200,html_text_saved
https://mise.ax/blanketter/anmalan-om-delad-tomning-avfallskarl,200,html_text_saved
